timeMillis,boost,rpm,fuelTrim,fuelPressure,coolant,load,speed,throttle,timing
1777642555196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642555397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642555598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642555799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642555999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642556200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642556400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642556601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642556801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642557002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642557203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642557403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642557604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642557805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642558005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642558205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642558405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642558605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642558806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642559006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642559207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642559408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642559608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642559809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642560009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642560210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642560412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642560612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642560813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642561014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642561215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642561415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642561615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642561816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642562016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642562217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642562419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642562621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642562821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642563022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642563223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642563423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
